case,op,cores,loops,samples,max_core_per_call_p50_us,max_core_per_call_p95_us,std_us,entry_spread_raw_unverified_p50_us,host_trace_p50_us,host_plain_p50_us,paired_host_delta_p50_us,payload_bytes_per_core,payload_over_slowest_core_GBps
gather_custom_even_e31,2,8,64,10,0.055625,0.062671875,0.002802760915597334,0.36,35.324,34.6395,1.1149999999999984,,
copy_ub_gm_p512_g0_c1,4,1,64,10,0.15781250000000002,0.16693750000000002,0.0065848577480838565,0.0,41.289,39.8145,0.8404999999999987,8192,51.909702970297026
copy_gm_ub_p512_g512_c8,1,8,64,10,0.16203125000000002,0.177875,0.008067343506384243,0.36,42.47,43.745000000000005,-0.09999999999999787,8192,50.558148505303755
copy_ub_gm_p1024_g0_c1,4,1,64,10,0.20359375000000002,0.20534375000000002,0.004596619002049222,0.0,40.854,42.194,-0.5595000000000034,16384,80.47398311588641
copy_gm_ub_p512_g512_c1,1,1,64,10,0.14468750000000002,0.16659374999999998,0.009336431080048732,0.0,42.164,39.3695,2.221,8192,56.61857451403887
copy_gm_ub_p480_g32_c1,1,1,64,10,0.2378125,0.25301562499999997,0.00806595129618943,0.0,47.239000000000004,48.3645,-0.9300000000000033,7680,32.29434954007884
copy_gm_ub_p1024_g0_c8,1,8,64,10,0.2165625,0.221390625,0.0024624127522614877,0.36,47.169,46.069500000000005,0.6849999999999987,16384,75.65483405483407
gather_fixed7_r1,2,8,64,10,0.0309375,0.03125,0.00018750000000000017,0.35,30.7295,32.474000000000004,-1.6845000000000034,,
copy_gm_ub_p32_g480_c8,1,8,64,10,0.14656249999999998,0.15012499999999998,0.0028118054698004933,0.36,40.3995,40.589,-2.139999999999997,512,3.493390191897655
copy_ub_gm_p512_g512_c48,4,48,64,10,0.19390625,0.199546875,0.0029355046414543443,1.94,45.8595,43.79900000000001,0.4194999999999993,8192,42.247219983883966
gather_fixed5_r1,2,8,64,10,0.0309375,0.0309375,0.0001250000000000001,0.36,29.9,29.23,1.185500000000001,,
empty_c48,0,48,64,10,0.010625,0.010625,1.734723475976807e-18,1.92,31.545,31.314,-0.33450000000000024,,
gather_fixed2_r1,2,8,64,10,0.0309375,0.03125,0.00019764235376052387,0.36,30.5945,29.744999999999997,0.504999999999999,,
gather_strided,2,1,64,10,0.0609375,0.06125,0.00028125000000000025,0.0,32.599500000000006,31.3445,1.8045000000000009,,
copy_ub_gm_p1024_g0_c8,4,8,64,10,0.20203125,0.20640625,0.0038197932290243157,0.36,41.829,41.039,0.650500000000001,16384,81.09636504253673
copy_ub_gm_p512_g512_c1,4,1,64,10,0.16218749999999998,0.166453125,0.0036770243149182465,0.0,38.554500000000004,38.11,0.544000000000004,8192,50.509441233140656
gather_custom_random_e31,2,8,64,10,0.05890625000000001,0.059062500000000004,0.00015625000000000014,0.36,32.164500000000004,31.3395,0.5945000000000018,,
